Date,Close
3/7/2018,8.945
3/8/2018,9.015
3/9/2018,9.08
3/12/2018,9.205
3/13/2018,9.195
3/14/2018,9.19
3/15/2018,9.15
3/16/2018,9.15
3/19/2018,8.99
3/20/2018,9.105
3/21/2018,9.02
3/22/2018,8.845
3/23/2018,8.865
3/26/2018,8.985
3/27/2018,8.86
3/28/2018,8.845
3/29/2018,8.925
4/2/2018,8.775
4/3/2018,8.84
4/4/2018,8.915
4/5/2018,8.935
4/6/2018,8.745
4/9/2018,8.63
4/10/2018,8.66
4/11/2018,8.675
4/12/2018,9.005
4/13/2018,8.31
4/16/2018,8.495
4/17/2018,8.415
4/18/2018,8.465
4/19/2018,8.585
4/20/2018,8.685
4/23/2018,8.71
4/24/2018,8.545
4/25/2018,8.605
4/26/2018,8.73
4/27/2018,8.81
4/30/2018,8.835
5/1/2018,8.82
5/2/2018,8.885
5/3/2018,8.84
5/4/2018,8.83
5/7/2018,8.72
5/8/2018,8.66
5/9/2018,8.735
5/10/2018,8.725
5/11/2018,8.78
5/14/2018,8.825
5/15/2018,8.76
5/16/2018,8.775
5/17/2018,8.68
5/18/2018,8.68
5/21/2018,8.695
5/22/2018,8.76
5/23/2018,8.905
5/24/2018,9.12
5/25/2018,9.16
5/29/2018,9
5/30/2018,9.07
5/31/2018,9.095
6/1/2018,9.145
6/4/2018,9.22
6/5/2018,9.18
6/6/2018,9.37
6/7/2018,9.285
6/8/2018,9.365
6/11/2018,9.375
6/12/2018,9.5
6/13/2018,9.41
6/14/2018,9.08
6/15/2018,9.365
6/18/2018,9.22
6/19/2018,9.1
6/20/2018,9.08
6/21/2018,9.115
6/22/2018,9.36
6/25/2018,9.32
6/26/2018,9.36
6/27/2018,9.33
6/28/2018,9.5
6/29/2018,9.715
7/2/2018,9.805
7/3/2018,9.845
7/5/2018,9.67
7/6/2018,9.575
7/9/2018,9.7
7/10/2018,9.89
7/11/2018,9.88
7/12/2018,10.005
7/13/2018,9.71
7/16/2018,9.8
7/17/2018,9.95
7/18/2018,9.84
7/19/2018,9.855
7/20/2018,10.005
7/23/2018,10.075
7/24/2018,10.195
7/25/2018,10.29
7/26/2018,10.27
7/27/2018,10.17
7/30/2018,9.97
7/31/2018,10.09
8/1/2018,10.175
8/2/2018,10.19
8/3/2018,10.27
8/6/2018,10.295
8/7/2018,10.3
8/8/2018,10.375
8/9/2018,10.45
8/10/2018,10.4
8/13/2018,10.41
8/14/2018,10.45
8/15/2018,10.435
8/16/2018,10.495
8/17/2018,10.54
8/20/2018,10.25
8/21/2018,10.245
8/22/2018,10.25
8/23/2018,10.19
8/24/2018,10.15
8/27/2018,10.27
8/28/2018,10.325
8/29/2018,10.175
8/30/2018,10.23
8/31/2018,10.385
9/4/2018,10.38
9/5/2018,10.355
9/6/2018,10.4
9/7/2018,10.425
9/10/2018,10.35
9/11/2018,10.485
9/12/2018,10.55
9/13/2018,10.61
9/14/2018,10.32
9/17/2018,10.25
9/18/2018,10.14
9/19/2018,10.01
9/20/2018,10.07
9/21/2018,9.93
9/24/2018,9.95
9/25/2018,10.15
9/26/2018,10.06
9/27/2018,10.1
9/28/2018,10.17
10/1/2018,10.37
10/2/2018,10.27
10/3/2018,10.04
10/4/2018,10
10/5/2018,10.17
10/8/2018,10.03
10/9/2018,10.02
10/10/2018,9.74
10/11/2018,9.52
10/12/2018,9.74
10/15/2018,9.91
10/16/2018,10.22
10/17/2018,9.8
10/18/2018,9.54
10/19/2018,9.58
10/22/2018,9.48
10/23/2018,9.4
10/24/2018,9.06
10/25/2018,9.11
10/26/2018,9.02
10/29/2018,8.97
10/30/2018,9.19
10/31/2018,9.47
11/1/2018,9.3
11/2/2018,9.25
11/5/2018,9.4
11/6/2018,9.48
11/7/2018,9.61
11/8/2018,9.51
11/9/2018,9.49
11/12/2018,9.34
11/13/2018,9.4
11/14/2018,9.25
11/15/2018,9.33
11/16/2018,9.33
11/19/2018,9.29
11/20/2018,9.09
11/21/2018,9.07
11/23/2018,9.09
11/26/2018,9.18
11/27/2018,9.27
11/28/2018,9.86
11/29/2018,9.68
11/30/2018,9.86
12/3/2018,9.9
12/4/2018,9.85
12/6/2018,9.83
12/7/2018,9.69
12/10/2018,9.57
12/11/2018,9.69
12/12/2018,9.66
12/13/2018,9.87
12/14/2018,9.89
12/17/2018,9.6
12/18/2018,9.54
12/19/2018,9.43
12/20/2018,9.28
12/21/2018,9.1
12/24/2018,9.08
12/26/2018,9.38
12/27/2018,9.45
12/28/2018,9.43
12/31/2018,9.52
1/2/2019,9.61
1/3/2019,9.47
1/4/2019,9.63
1/7/2019,9.71
1/8/2019,9.75
1/9/2019,9.87
1/10/2019,9.88
1/11/2019,10.41
1/14/2019,10.37
1/15/2019,10.49
1/16/2019,10.61
1/17/2019,10.58
1/18/2019,10.67
1/22/2019,10.53
1/23/2019,10.53
1/24/2019,10.43
1/25/2019,10.55
1/28/2019,10.52
1/29/2019,10.48
1/30/2019,10.59
1/31/2019,10.8
2/1/2019,10.9
2/4/2019,10.87
2/5/2019,10.84
2/6/2019,10.9
2/7/2019,10.85
2/8/2019,10.86
2/11/2019,10.82
2/12/2019,10.77
2/13/2019,10.8
2/14/2019,10.76
2/15/2019,10.76
2/19/2019,10.55
2/20/2019,10.7
2/21/2019,10.55
2/22/2019,10.63
2/25/2019,10.81
2/26/2019,10.73
2/27/2019,10.7
2/28/2019,10.72
3/1/2019,10.84
3/4/2019,10.72
3/5/2019,10.77
3/6/2019,10.71
3/7/2019,10.49
3/8/2019,10.47
3/11/2019,10.55
3/12/2019,10.52
3/13/2019,10.55
3/14/2019,10.6
3/15/2019,10.7
3/18/2019,10.72
3/19/2019,10.9
3/20/2019,10.94
3/21/2019,11.06
3/22/2019,10.88
3/25/2019,10.82
3/26/2019,10.82
3/27/2019,10.73
3/28/2019,10.88
3/29/2019,10.93
4/1/2019,11.09
4/2/2019,11.18
4/3/2019,11.2
4/4/2019,11.07
4/5/2019,11.32
